id;statut;date_entree;date_sortie;zone;ligne;colonne;commentaire
1;81077;2021-07-31T20:45:58;2021-07-31T11:01:25;33636;13144;76036;Fresh Account firewall
2;10147;2021-08-01T08:57:14;2021-07-31T16:08:19;13835;28320;30355;Small Fresh
3;64981;2021-08-01T03:24:32;2021-08-01T07:24:18;1655;16254;53385;Electronics Bourgogne
4;71787;2021-07-31T12:28:10;2021-07-31T13:01:30;13214;13430;48376;cross-platform Poitou-Charentes Handcrafted
5;71804;2021-07-31T21:38:24;2021-07-31T19:15:05;84376;24030;3812;Fresh structure overriding
6;77945;2021-07-31T17:47:34;2021-08-01T01:07:47;99321;86463;1210;web-readiness b haptic
7;74498;2021-08-01T04:19:41;2021-07-31T16:16:58;95115;19983;65678;capacity Manager
8;85069;2021-07-31T15:32:21;2021-08-01T06:26:44;78080;36905;86256;access synthesizing
9;51901;2021-07-31T15:03:12;2021-07-31T16:08:39;7103;31936;54400;Chicken content
10;10773;2021-07-31T10:09:48;2021-07-31T19:46:37;98631;61929;9929;sticky monitor De-engineered
