id;label;lib_2;lib_3;ref_externe;val_1;val_2;val_3;ordre
1;purple syndicate microchip;Car state;Gorgeous Buckinghamshire Concrete;deliver;Chicken backing;interactive Executif SMTP;Pants de e-markets;35930
2;1080p SSL;c payment;expedite benchmark pixel;multi-byte backing navigate;Designer;Automated Electronics 1080p;withdrawal Bike Philippines;23408
3;bus Fully-configurable;navigate Sri Mouffetard;c a calculate;bypassing XSS;programming;c;robust;27938
4;Provence Chair Fantastic;multimedia Corse deposit;Ergonomic;Franche-Comté Borders;Canadian base;mobile white;reboot Buckinghamshire;67638
5;Steel Automotive;monitor solid Avon;deposit digital;capacitor SMTP extend;engineer;collaborative Bedfordshire copying;client-server content-based;15210
6;Intelligent;Gorgeous generate;Ergonomic;enhance Borders;facilitate multi-byte;Soft;b;96661
7;syndicate Incredible;seize revolutionize;Health Rhône-Alpes enhance;Frozen;systems Rubber;payment Coordinateur;Steel programming deposit;70316
8;a;la Architecte unleash;TCP;Basse-Normandie Monsieur-le-Prince;Home Licensed;function;recontextualize PNG c;35336
9;Rial composite;Analyste Frozen next-generation;Mouse;Zimbabwe infrastructures;Iceland cyan;generation Bretagne;driver port;28535
10;Progressive Centralized;Cotton system;monitor b tolerance;frictionless workforce;background JSON Marcadet;Rustic la;Turkménistan SMTP;59691
